Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-12-27,275.55,274.55,275.55,275.55,0.4,Wednesday
2000-12-28,272.55,275.25,272.55,272.55,-1.09,Thursday
2000-12-29,272.4,272.45,272.4,272.4,-0.06,Friday
2001-01-02,268.85,272.75,268.85,268.85,-1.3,Tuesday
2001-01-03,268.65,269.25,268.65,268.65,-0.07,Wednesday
2001-01-04,267.55,268.05,267.55,267.55,-0.41,Thursday
2001-01-05,268.1,267.45,268.1,268.1,0.21,Friday
2001-01-08,268.45,268.35,268.45,268.45,0.13,Monday
2001-01-09,267.85,268.55,267.85,267.85,-0.22,Tuesday
2001-01-10,264.8,267.55,264.8,264.8,-1.14,Wednesday
2001-01-11,264.15,264.9,264.15,264.15,-0.25,Thursday
2001-01-12,264.25,264.3,264.25,264.25,0.04,Friday
2001-01-15,263.65,264.5,263.65,263.65,-0.23,Monday
2001-01-16,263.55,263.65,263.55,263.55,-0.04,Tuesday
2001-01-17,263.7,263.75,263.7,263.7,0.06,Wednesday
2001-01-18,265.05,263.8,265.05,265.05,0.51,Thursday
2001-01-19,264.85,264.8,264.85,264.85,-0.08,Friday
2001-01-22,266.95,265.55,266.95,266.95,0.79,Monday
2001-01-23,266.55,267.5,266.55,266.55,-0.15,Tuesday
2001-01-24,264.95,266.55,264.95,264.95,-0.6,Wednesday
2001-01-25,264.95,264.95,264.95,264.95,0.0,Thursday
2001-01-26,263.05,265.0,263.05,263.05,-0.72,Friday
2001-01-29,263.15,263.55,263.15,263.15,0.04,Monday
2001-01-30,265.85,263.15,265.85,265.85,1.03,Tuesday
2001-01-31,265.85,266.0,265.85,265.85,0.0,Wednesday
2001-02-01,268.65,266.15,268.65,268.65,1.05,Thursday
2001-02-02,267.5,268.35,267.5,267.5,-0.43,Friday
2001-02-05,265.55,267.15,265.55,265.55,-0.73,Monday
2001-02-06,263.65,265.45,263.65,263.65,-0.72,Tuesday
2001-02-07,263.35,263.75,263.35,263.35,-0.11,Wednesday
2001-02-08,260.9,263.4,260.9,260.9,-0.93,Thursday
2001-02-09,260.65,260.85,260.65,260.65,-0.1,Friday
2001-02-12,261.35,261.35,261.35,261.35,0.27,Monday
2001-02-13,260.95,261.45,260.95,260.95,-0.15,Tuesday
2001-02-14,259.9,260.65,259.9,259.9,-0.4,Wednesday
2001-02-15,256.05,259.75,256.05,256.05,-1.48,Thursday
2001-02-16,258.95,255.95,258.95,258.95,1.13,Friday
2001-02-19,259.65,258.75,259.65,259.65,0.27,Monday
2001-02-20,256.25,259.65,256.25,256.25,-1.31,Tuesday
2001-02-21,258.55,256.45,258.55,258.55,0.9,Wednesday
2001-02-22,259.05,258.75,259.05,259.05,0.19,Thursday
2001-02-23,261.5,258.7,261.5,261.5,0.95,Friday
2001-02-26,266.85,261.75,266.85,266.85,2.05,Monday
2001-02-27,268.25,267.0,268.25,268.25,0.52,Tuesday
2001-02-28,267.25,268.05,267.25,267.25,-0.37,Wednesday
2001-03-01,265.65,267.15,265.65,265.65,-0.6,Thursday
2001-03-02,262.75,265.05,262.75,262.75,-1.09,Friday
2001-03-05,263.15,262.65,263.15,263.15,0.15,Monday
2001-03-06,260.75,263.1,260.75,260.75,-0.91,Tuesday
2001-03-07,262.35,260.65,262.35,262.35,0.61,Wednesday
2001-03-08,266.45,262.45,266.45,266.45,1.56,Thursday
2001-03-09,272.38,267.38,272.38,272.38,2.23,Friday
2001-03-12,272.55,272.2,272.55,272.55,0.06,Monday
2001-03-13,267.75,272.65,267.75,267.75,-1.76,Tuesday
2001-03-14,263.05,268.65,263.05,263.05,-1.76,Wednesday
2001-03-15,260.65,263.85,260.65,260.65,-0.91,Thursday
2001-03-16,258.75,260.85,258.75,258.75,-0.73,Friday
2001-03-19,260.65,258.8,260.65,260.65,0.73,Monday
2001-03-20,261.65,260.85,261.65,261.65,0.38,Tuesday
2001-03-21,263.05,262.05,263.05,263.05,0.54,Wednesday
2001-03-22,261.95,263.15,261.95,261.95,-0.42,Thursday
2001-03-23,262.35,262.25,262.35,262.35,0.15,Friday
2001-03-26,262.65,262.15,262.65,262.65,0.11,Monday
2001-03-27,261.45,262.45,261.45,261.45,-0.46,Tuesday
2001-03-28,260.05,260.9,260.05,260.05,-0.54,Wednesday
2001-03-29,259.05,260.2,259.05,259.05,-0.38,Thursday
2001-03-30,257.95,259.15,257.95,257.95,-0.42,Friday
2001-04-02,255.55,257.75,255.55,255.55,-0.93,Monday
2001-04-03,257.05,255.7,257.05,257.05,0.59,Tuesday
2001-04-04,258.75,257.35,258.75,258.75,0.66,Wednesday
2001-04-05,258.55,259.0,258.55,258.55,-0.08,Thursday
2001-04-06,259.9,258.5,259.9,259.9,0.52,Friday
2001-04-09,258.5,260.05,258.5,258.5,-0.54,Monday
